断面名称,长ZWTG-1, , .1,测量水位,1.53
22, , , ,-2.48,74.28
23, , , ,-2.44,76.95
24, , , ,-2.48,79.6
25, , , ,-2.29,82.29
26, , , ,-2.13,84.97
27, , , ,-1.93,87.71
28, , , ,-1.81,90.57
29, , , ,-1.19,93.59
30, , , ,0.21,95.85
31, , , ,0.3,98.09
32, , , ,0.49,99.79
33, , , ,1.16,103.01
34, , , ,3.15,103.48
35, , , ,3.21,103.53
36, , , ,1.43,104.38
37, , , ,2.95,107.35
38, , , ,3.29,108.03
39, , , ,3.39,110.86
40, , , ,3.06,111.99
断面名称,长ZWTG-9, , ,测量水位,1.45
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.7,0
2, , , ,6.81,3.04
3, , , ,5.79,6.23
4, , , ,5.9,7.15
5, , , ,2.36,8.42
6, , , ,2.4,11.81
7, , , ,2.3,12.03
8, , , ,2.3,13.18
9, , , ,1.79,13.52
10, , , ,1.02,13.82
11, , , ,-0.17,19.95
12, , , ,-1.02,24.14
13, , , ,-1.61,27.25
14, , , ,-1.92,30.54
15, , , ,-1.99,33.9
16, , , ,-2.05,37.37
17, , , ,-2.21,40.89
18, , , ,-2.11,44.82
19, , , ,-1.96,48.54
20, , , ,-1.8,51.48
21, , , ,-1.74,54.67
22, , , ,-1.65,58.61
23, , , ,-1.45,66.46
24, , , ,-1.33,71.72
25, , , ,-1.02,75
26, , , ,-0.74,78.16
27, , , ,-0.3,80.1
28, , , ,-0.12,81.39
29, , , ,-0.01,83.8
30, , , ,0.56,86.14
31, , , ,3.17,86.19
32, , , ,3.18,86.6
33, , , ,3.21,86.61
34, , , ,3.42,90.47
35, , , ,4.59,92.14
36, , , ,4.61,94.02
37, , , ,4.56,94.28
38, , , ,3.83,95.29
